,LKW (S),Motorrad (L),PKW (S),Transporter (L),Transporter (S),PKW (L),Motorrad (S),Kleintransporter (S),LKW (L),Kleintransporter (L)
2023-01-01 20:00:00+00:00,0,0,20,0,4,0,0,0,0,0
2023-01-01 20:10:00+00:00,0,0,25,0,0,0,0,0,0,0
2023-01-01 20:20:00+00:00,0,0,24,0,1,0,0,0,0,0
2023-01-01 20:30:00+00:00,0,0,19,0,2,0,0,0,0,0
2023-01-01 20:40:00+00:00,0,0,21,0,3,0,0,0,0,0
2023-01-01 20:50:00+00:00,0,0,17,0,2,0,0,0,0,0
2023-01-01 21:00:00+00:00,0,0,21,0,0,0,0,0,0,0
2023-01-01 21:10:00+00:00,0,0,17,0,0,0,0,0,0,0
2023-01-01 21:20:00+00:00,0,0,17,0,4,0,0,0,0,0
2023-01-01 21:30:00+00:00,0,0,18,0,1,0,0,0,0,0
2023-01-01 21:40:00+00:00,0,0,16,0,0,0,0,0,0,0
2023-01-01 21:50:00+00:00,0,0,10,0,0,0,0,0,0,0
2023-01-01 22:00:00+00:00,0,0,13,0,1,0,0,0,0,0
2023-01-01 22:10:00+00:00,0,0,17,0,1,0,0,0,0,0
2023-01-01 22:20:00+00:00,0,0,11,0,1,0,0,0,0,0
2023-01-01 22:30:00+00:00,0,0,12,0,2,0,0,0,0,0
2023-01-01 22:40:00+00:00,0,0,12,0,3,0,0,0,0,0
2023-01-01 22:50:00+00:00,0,0,13,0,0,0,0,0,0,0
2023-01-01 23:00:00+00:00,0,0,8,0,2,1,0,0,0,0
2023-01-01 23:10:00+00:00,0,0,12,0,1,0,0,0,0,0
2023-01-01 23:20:00+00:00,0,0,7,1,4,0,0,0,1,0
2023-01-01 23:30:00+00:00,0,0,9,0,2,0,0,0,0,0
2023-01-01 23:40:00+00:00,0,0,7,0,2,0,0,0,0,0
2023-01-01 23:50:00+00:00,0,0,11,0,0,0,0,0,0,0
2023-01-02 00:00:00+00:00,0,0,7,0,5,1,0,0,0,0
2023-01-02 00:10:00+00:00,0,0,6,0,0,0,0,0,0,0
2023-01-02 00:20:00+00:00,0,0,6,0,1,0,0,0,0,0
2023-01-02 00:30:00+00:00,0,0,3,0,2,0,0,0,0,0
2023-01-02 00:40:00+00:00,0,0,6,0,0,0,0,0,0,0
2023-01-02 00:50:00+00:00,0,0,9,0,0,0,0,0,0,0
2023-01-02 01:00:00+00:00,0,0,6,0,3,0,0,0,0,0
2023-01-02 01:10:00+00:00,0,0,8,1,2,0,0,0,0,0
2023-01-02 01:20:00+00:00,0,0,9,0,1,0,0,0,0,0
2023-01-02 01:30:00+00:00,0,0,4,0,0,0,0,0,0,0
2023-01-02 01:40:00+00:00,0,0,2,0,0,0,0,0,0,0
2023-01-02 01:50:00+00:00,0,0,5,0,1,0,0,0,0,0
2023-01-02 02:00:00+00:00,0,0,6,0,1,0,0,0,0,0
2023-01-02 02:10:00+00:00,0,0,5,0,2,1,0,0,0,0
2023-01-02 02:20:00+00:00,0,0,6,0,1,0,0,0,0,0
2023-01-02 02:30:00+00:00,0,0,8,0,2,1,0,0,0,0
2023-01-02 02:40:00+00:00,0,0,6,0,0,0,0,0,0,0
2023-01-02 02:50:00+00:00,0,0,4,0,0,0,0,0,0,0
2023-01-02 03:00:00+00:00,0,1,12,0,1,1,0,0,0,0
2023-01-02 03:10:00+00:00,0,0,8,0,2,0,0,0,0,0
2023-01-02 03:20:00+00:00,1,0,7,0,2,0,0,1,0,0
2023-01-02 03:30:00+00:00,0,0,12,0,3,1,0,0,0,0
2023-01-02 03:40:00+00:00,0,0,18,0,2,0,0,0,0,0
2023-01-02 04:00:00+00:00,0,0,13,0,3,0,0,0,0,0
2023-01-02 04:10:00+00:00,0,0,37,0,5,0,0,1,0,0
2023-01-02 04:20:00+00:00,0,0,44,0,11,0,0,0,0,0
2023-01-02 04:30:00+00:00,0,0,56,0,10,0,0,0,0,0
2023-01-02 04:40:00+00:00,0,0,64,0,5,0,0,0,0,0
2023-01-02 04:50:00+00:00,0,1,47,1,7,0,0,0,0,0
2023-01-02 05:00:00+00:00,0,0,46,0,3,0,0,0,0,0
2023-01-02 05:10:00+00:00,0,0,53,0,7,0,0,0,0,0
2023-01-02 05:20:00+00:00,0,0,53,0,10,0,0,0,0,0
2023-01-02 05:30:00+00:00,0,0,82,0,4,1,0,0,0,0
2023-01-02 05:40:00+00:00,0,0,66,1,10,0,0,0,0,0
2023-01-02 05:50:00+00:00,0,0,85,0,10,0,1,0,0,0
