Timestamp;Object_Id;MQ 5.1;Object_Id_1;MQ 5.2;
04.01.2023 03:00;MQ 5.1 KPB Ri Innenstadt;58;MQ 5.2 KPB Ri Neckarstadt;68;
04.01.2023 04:00;MQ 5.1 KPB Ri Innenstadt;54;MQ 5.2 KPB Ri Neckarstadt;49;
04.01.2023 05:00;MQ 5.1 KPB Ri Innenstadt;86;MQ 5.2 KPB Ri Neckarstadt;62;
04.01.2023 06:00;MQ 5.1 KPB Ri Innenstadt;210;MQ 5.2 KPB Ri Neckarstadt;191;
04.01.2023 07:00;MQ 5.1 KPB Ri Innenstadt;341;MQ 5.2 KPB Ri Neckarstadt;281;
04.01.2023 08:00;MQ 5.1 KPB Ri Innenstadt;427;MQ 5.2 KPB Ri Neckarstadt;362;
04.01.2023 09:00;MQ 5.1 KPB Ri Innenstadt;432;MQ 5.2 KPB Ri Neckarstadt;394;
04.01.2023 10:00;MQ 5.1 KPB Ri Innenstadt;445;MQ 5.2 KPB Ri Neckarstadt;451;
04.01.2023 11:00;MQ 5.1 KPB Ri Innenstadt;507;MQ 5.2 KPB Ri Neckarstadt;505;
04.01.2023 12:00;MQ 5.1 KPB Ri Innenstadt;504;MQ 5.2 KPB Ri Neckarstadt;624;
04.01.2023 13:00;MQ 5.1 KPB Ri Innenstadt;492;MQ 5.2 KPB Ri Neckarstadt;645;
04.01.2023 14:00;MQ 5.1 KPB Ri Innenstadt;568;MQ 5.2 KPB Ri Neckarstadt;637;
04.01.2023 15:00;MQ 5.1 KPB Ri Innenstadt;560;MQ 5.2 KPB Ri Neckarstadt;708;
04.01.2023 16:00;MQ 5.1 KPB Ri Innenstadt;610;MQ 5.2 KPB Ri Neckarstadt;726;
04.01.2023 17:00;MQ 5.1 KPB Ri Innenstadt;624;MQ 5.2 KPB Ri Neckarstadt;810;
04.01.2023 18:00;MQ 5.1 KPB Ri Innenstadt;620;MQ 5.2 KPB Ri Neckarstadt;777;
04.01.2023 19:00;MQ 5.1 KPB Ri Innenstadt;485;MQ 5.2 KPB Ri Neckarstadt;666;
04.01.2023 20:00;MQ 5.1 KPB Ri Innenstadt;387;MQ 5.2 KPB Ri Neckarstadt;597;
04.01.2023 21:00;MQ 5.1 KPB Ri Innenstadt;318;MQ 5.2 KPB Ri Neckarstadt;502;
04.01.2023 22:00;MQ 5.1 KPB Ri Innenstadt;276;MQ 5.2 KPB Ri Neckarstadt;348;
04.01.2023 23:00;MQ 5.1 KPB Ri Innenstadt;316;MQ 5.2 KPB Ri Neckarstadt;312;
04.01.2023 23:59;MQ 5.1 KPB Ri Innenstadt;149;MQ 5.2 KPB Ri Neckarstadt;236;
05.01.2023 01:00;MQ 5.1 KPB Ri Innenstadt;99;MQ 5.2 KPB Ri Neckarstadt;126;
05.01.2023 02:00;MQ 5.1 KPB Ri Innenstadt;59;MQ 5.2 KPB Ri Neckarstadt;86;
05.01.2023 03:00;MQ 5.1 KPB Ri Innenstadt;56;MQ 5.2 KPB Ri Neckarstadt;76;
05.01.2023 04:00;MQ 5.1 KPB Ri Innenstadt;42;MQ 5.2 KPB Ri Neckarstadt;43;
05.01.2023 05:00;MQ 5.1 KPB Ri Innenstadt;81;MQ 5.2 KPB Ri Neckarstadt;74;
05.01.2023 06:00;MQ 5.1 KPB Ri Innenstadt;211;MQ 5.2 KPB Ri Neckarstadt;186;
05.01.2023 07:00;MQ 5.1 KPB Ri Innenstadt;357;MQ 5.2 KPB Ri Neckarstadt;268;
05.01.2023 08:00;MQ 5.1 KPB Ri Innenstadt;421;MQ 5.2 KPB Ri Neckarstadt;413;
05.01.2023 09:00;MQ 5.1 KPB Ri Innenstadt;464;MQ 5.2 KPB Ri Neckarstadt;418;
05.01.2023 10:00;MQ 5.1 KPB Ri Innenstadt;440;MQ 5.2 KPB Ri Neckarstadt;480;
05.01.2023 11:00;MQ 5.1 KPB Ri Innenstadt;502;MQ 5.2 KPB Ri Neckarstadt;601;
05.01.2023 12:00;MQ 5.1 KPB Ri Innenstadt;603;MQ 5.2 KPB Ri Neckarstadt;634;
05.01.2023 13:00;MQ 5.1 KPB Ri Innenstadt;509;MQ 5.2 KPB Ri Neckarstadt;654;
05.01.2023 14:00;MQ 5.1 KPB Ri Innenstadt;591;MQ 5.2 KPB Ri Neckarstadt;698;
05.01.2023 15:00;MQ 5.1 KPB Ri Innenstadt;650;MQ 5.2 KPB Ri Neckarstadt;688;
05.01.2023 16:00;MQ 5.1 KPB Ri Innenstadt;704;MQ 5.2 KPB Ri Neckarstadt;854;
05.01.2023 17:00;MQ 5.1 KPB Ri Innenstadt;708;MQ 5.2 KPB Ri Neckarstadt;871;
05.01.2023 18:00;MQ 5.1 KPB Ri Innenstadt;658;MQ 5.2 KPB Ri Neckarstadt;797;
05.01.2023 19:00;MQ 5.1 KPB Ri Innenstadt;540;MQ 5.2 KPB Ri Neckarstadt;690;
